Protein,BINCODE,NAME,mean
eucgr.i01666.2.p,_27.3.69_,'RNA.regulation of transcription.SET-domain transcriptional regulator family',2.75024552053678e-12
eucgr.i01668.3.p,_9.6_,'mitochondrial electron transport / ATP synthesis.cytochrome c',1.08673673535832e-11
eucgr.i01691.3.p,_7.1.1_,'OPP.oxidative PP.G6PD',5.04075327159396e-12
eucgr.i01709.1.p,_35.2_,'not assigned.unknown',3.36283155271037e-13
eucgr.i01715.1.p,_35.2_,'not assigned.unknown',9.52543993529813e-12
eucgr.i01720.1.p,_30.5_,'signalling.G-proteins',1.92723019443727e-12
eucgr.i01728.2.p,_26.28_,'misc.GDSL-motif lipase',5.35910104919746e-13
eucgr.i01732.1.p,"_29.3.4.2_, _31.4_","'protein.targeting.secretory pathway.golgi', 'cell.vesicle transport'",8.44116414742366e-13
eucgr.i01738.1.p,_35.2_,'not assigned.unknown',4.22203966889833e-12
eucgr.i01757.1.p,_3.1.2.1_,'minor CHO metabolism.raffinose family.raffinose synthases.known',1.27094863924122e-11
eucgr.i01760.1.p,_21.4_,'redox.glutaredoxins',7.80708859173383e-12
eucgr.i01764.1.p,_21.4_,'redox.glutaredoxins',3.05223692212993e-12
eucgr.i01779.6.p,"_29.3.4.99_, _29.4_","'protein.targeting.secretory pathway.unspecified', 'protein.postranslational modification'",4.93142101902314e-11
eucgr.i01790.1.p,_8.3_,'TCA / org transformation.carbonic anhydrases',1.27861279168967e-09
eucgr.i01792.1.p,_29.5.5_,'protein.degradation.serine protease',1.42401168905351e-11
eucgr.i01801.3.p,_26.7_,"'misc.oxidases - copper, flavone etc'",1.10255647566248e-11
eucgr.i01801.4.p,_26.7_,"'misc.oxidases - copper, flavone etc'",6.06037100922478e-12
eucgr.i01803.2.p,_26.7_,"'misc.oxidases - copper, flavone etc'",2.39708715292203e-12
eucgr.i01814.1.p,_35.2_,'not assigned.unknown',6.58357090483303e-12
eucgr.i01816.1.p,_29.6_,'protein.folding',1.40515861283285e-11
eucgr.i01878.1.p,_29.5.7_,'protein.degradation.metalloprotease',6.63054593100674e-12
eucgr.i01880.5.p,_2.1.2.1_,'major CHO metabolism.synthesis.starch.AGPase',7.62019703183611e-13
eucgr.i01911.2.p,_34.1_,'transport.p- and v-ATPases',1.36814931639964e-11
eucgr.i01913.1.p,_21.1_,'redox.thioredoxin',2.58488123754315e-12
eucgr.i01925.1.p,_34.1.1_,'transport.p- and v-ATPases.H+-transporting two-sector ATPase',1.33005849934124e-12
eucgr.i01938.2.p,_29.2.1.2.1.9_,'protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S9',2.21966053737953e-11
eucgr.i01939.2.p,_29.5.5_,'protein.degradation.serine protease',5.33264948737813e-12
eucgr.i01959.2.p,_13.1.3.4.1_,'amino acid metabolism.synthesis.aspartate family.methionine.cystathionine gamma-synthase',1.53515741332025e-13
eucgr.i01982.1.p,_20.2.1_,'stress.abiotic.heat',6.80761812765729e-12
eucgr.i01987.1.p,_9.9_,'mitochondrial electron transport / ATP synthesis.F1-ATPase',1.06606411845341e-11
eucgr.i02018.1.p,_34.20_,'transport.porins',4.4624419389356e-11
eucgr.i02023.5.p,_35.2_,'not assigned.unknown',6.55428782496729e-13
eucgr.i02024.1.p,_29.2.1.2.1.19_,'protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S19',1.25345480709373e-12
eucgr.i02041.1.p,_29.5.11.20_,'protein.degradation.ubiquitin.proteasom',1.16309212054046e-12
eucgr.i02068.1.p,_17.2.2_,'hormone metabolism.auxin.signal transduction',1.14425252409346e-12
eucgr.i02078.1.p,_29.2.3_,'protein.synthesis.initiation',7.69792928759687e-12
eucgr.i02092.2.p,_7.1.3_,'OPP.oxidative PP.6-phosphogluconate dehydrogenase',6.94037299098366e-12
eucgr.i02137.3.p,_29.2.1.2.1.31_,'protein.synthesis.ribosomal protein.eukaryotic.40S subunit.SA',5.48892534745372e-12
eucgr.i02141.1.p,_26.28_,'misc.GDSL-motif lipase',1.2039850123752e-11
eucgr.i02163.1.p,_13.1.1.3.1_,'amino acid metabolism.synthesis.central amino acid metabolism.alanine.alanine aminotransferase',9.24297023191821e-13
eucgr.i02169.1.p,_29.5.11.20_,'protein.degradation.ubiquitin.proteasom',5.21238427898025e-12
eucgr.i02171.1.p,_34.1_,'transport.p- and v-ATPases',3.45652655317084e-11
eucgr.i02231.1.p,_13.1.5.1.2_,'amino acid metabolism.synthesis.serine-glycine-cysteine group.serine.phosphoserine aminotransferase',3.94016121979023e-12
eucgr.i02232.1.p,"_8.1.4_, _8.2.4_","'TCA / org transformation.TCA.IDH', 'TCA / org transformation.other organic acid transformatons.IDH'",8.59838181597054e-12
eucgr.i02267.1.p,_20.1_,'stress.biotic',4.86686052887523e-11
eucgr.i02271.1.p,_20.1_,'stress.biotic',2.03589996105222e-11
eucgr.i02289.2.p,_33.99_,'development.unspecified',1.25627669781256e-11
eucgr.i02307.2.p,_8.1.3_,'TCA / org transformation.TCA.aconitase',2.18971459613532e-11
eucgr.i02316.2.p,_35.2_,'not assigned.unknown',3.54243914290498e-12
eucgr.i02322.1.p,_29.5.11.4.3.1_,'protein.degradation.ubiquitin.E3.SCF.SKP',2.00711079633724e-12
eucgr.i02334.1.p,_29.5.11.20_,'protein.degradation.ubiquitin.proteasom',1.11314987709361e-11
eucgr.i02340.1.p,_1.1.5.3_,'PS.lightreaction.other electron carrier (ox/red).ferredoxin reductase',3.89176164284238e-10
eucgr.i02360.1.p,_29.2.1.2.2.8_,'protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L8',1.81937073345188e-11
eucgr.i02364.2.p,_28.1.3.1_,'DNA.synthesis/chromatin structure.histone.H1',1.52871694915199e-12
eucgr.i02388.1.p,_35.1_,'not assigned.no ontology',1.0178193809702e-12
eucgr.i02403.2.p,_26.10_,'misc.cytochrome P450',1.95163836944462e-12
eucgr.i02417.1.p,_9.1.1.5_,'mitochondrial electron transport / ATP synthesis.NADH-DH.complex I.carbonic anhydrase',5.28848422093338e-12
eucgr.i02418.1.p,_23.4.99_,'nucleotide metabolism.phosphotransfer and pyrophosphatases.misc',8.85816856438602e-11
eucgr.i02452.1.p,_8.1.7_,'TCA / org transformation.TCA.succinate dehydrogenase',8.97895997036411e-12
eucgr.i02457.1.p,_35.2_,'not assigned.unknown',1.05074969977497e-11
eucgr.i02466.1.p,_11.8_,"'lipid metabolism.'exotics'(steroids, squalene etc)'",1.46765039008946e-12
eucgr.i02468.1.p,_29.5_,'protein.degradation',2.71195771650281e-12
eucgr.i02469.1.p,_29.5_,'protein.degradation',1.39213394612136e-12
eucgr.i02505.1.p,_29.1.12_,'protein.aa activation.aspartate-tRNA ligase',1.49389269174691e-12
eucgr.i02515.1.p,_29.5_,'protein.degradation',4.97962117377798e-12
eucgr.i02583.1.p,_20.2.1_,'stress.abiotic.heat',1.53173064979655e-11
eucgr.i02606.1.p,_13.2.4.3_,'amino acid metabolism.degradation.branched chain group.valine',4.15092107622243e-12
eucgr.i02611.3.p,_26.17_,'misc.dynamin',1.1403623512794e-12
eucgr.i02615.1.p,_35.2_,'not assigned.unknown',1.30406524188512e-12
eucgr.i02616.1.p,_1.3.7_,'PS.calvin cycle.FBPase',5.7601093342366e-12
eucgr.i02621.1.p,_23.1.1.4_,'nucleotide metabolism.synthesis.pyrimidine.dihydroorotate dehydrogenase',1.98480146614942e-13
eucgr.i02629.1.p,_29.6_,'protein.folding',4.39238240806826e-12
eucgr.i02637.2.p,_27.1.1_,'RNA.processing.splicing',1.61945293242266e-12
eucgr.i02663.1.p,_9.4_,'mitochondrial electron transport / ATP synthesis.alternative oxidase',2.09243057947075e-12
eucgr.i02676.1.p,_11.1.5_,'lipid metabolism.FA synthesis and FA elongation.beta hydroxyacyl ACP dehydratase',6.42059071092114e-12
eucgr.i02677.1.p,_1.1.1.1_,'PS.lightreaction.photosystem II.LHC-II',1.01200556518556e-11
eucgr.i02693.1.p,_16.1.4_,'secondary metabolism.isoprenoids.carotenoids',1.68971705882629e-12
eucgr.i02715.2.p,_31.1_,'cell.organisation',1.23862900797321e-11
eucgr.i02716.1.p,_31.1_,'cell.organisation',2.90528835140874e-11
eucgr.i02726.1.p,_7.1.3_,'OPP.oxidative PP.6-phosphogluconate dehydrogenase',1.17769672405228e-12
eucgr.i02739.1.p,_29.7.4_,'protein.glycosylation.UDP-glucose glycoprotein glucosyltransferase',3.18746873888092e-12
eucgr.i02742.1.p,"_29.4_, _29.4.1_","'protein.postranslational modification', 'protein.postranslational modification.kinase'",2.61008013228947e-12
eucgr.i02744.1.p,_1.1.5.2_,'PS.lightreaction.other electron carrier (ox/red).ferredoxin',5.32059597841062e-10
eucgr.i02771.1.p,_20.2.1_,'stress.abiotic.heat',1.16413561547124e-10
eucgr.i02775.1.p,_23.1.2.2_,'nucleotide metabolism.synthesis.purine.GAR Synthetase',1.01025025364535e-12
eucgr.i02782.1.p,_29.2.4_,'protein.synthesis.elongation',3.38336422424898e-11
eucgr.i02806.1.p,_16.1.1.3_,'secondary metabolism.isoprenoids.non-mevalonate pathway.CMS',6.20658185771475e-12
eucgr.i02810.1.p,"_16.2.1.9_, _26.6_","'secondary metabolism.phenylpropanoids.lignin biosynthesis.COMT', 'misc.O-methyl transferases'",4.53925807900268e-12
eucgr.j00008.1.p,_4.1.7_,'glycolysis.cytosolic branch.triosephosphate isomerase (TPI)',8.5864233514055e-11
eucgr.j00015.2.p,_31.1.1.1.1_,'cell.organisation.cytoskeleton.actin.Actin',3.03064312020408e-11
eucgr.j00023.1.p,"_20.2.1_, _29.6_","'stress.abiotic.heat', 'protein.folding'",1.1820057058018e-11
eucgr.j00025.1.p,"_20.2.1_, _29.6_","'stress.abiotic.heat', 'protein.folding'",1.40829902669612e-10
eucgr.j00035.1.p,_29.2.1.2.1.11_,'protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S11',2.85282766866546e-12
eucgr.j00041.1.p,_29.1.10_,'protein.aa activation.methionine-tRNA ligase',2.81188866462082e-12
eucgr.j00048.2.p,"_31.1_, _31.1.1.1.2_","'cell.organisation', 'cell.organisation.cytoskeleton.actin.actin depolymerizing factors'",1.32596512941708e-11
eucgr.j00048.3.p,"_31.1_, _31.1.1.1.2_","'cell.organisation', 'cell.organisation.cytoskeleton.actin.actin depolymerizing factors'",2.48297600881883e-12
eucgr.j00085.3.p,_29.5.3_,'protein.degradation.cysteine protease',3.14753297313377e-12
eucgr.j00099.3.p,_29.2.1.2.2.10_,'protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L10',8.33944236156844e-12
eucgr.j00121.1.p,_35.1_,'not assigned.no ontology',3.82040158275238e-12
eucgr.j00124.1.p,_21.6_,'redox.dismutases and catalases',1.72905895997525e-12
eucgr.j00125.1.p,_29.2.1.2.1.26_,'protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S26',4.90677898122303e-12
eucgr.j00129.1.p,_35.2_,'not assigned.unknown',1.32584994046068e-12
eucgr.j00176.1.p,_15.2_,"'metal handling.binding, chelation and storage'",1.78757217088792e-11
eucgr.j00180.2.p,_35.1_,'not assigned.no ontology',3.46647426237085e-12
eucgr.j00183.1.p,_35.2_,'not assigned.unknown',6.31675056021955e-13
eucgr.j00193.3.p,_31.4_,'cell.vesicle transport',2.27018780788005e-12
eucgr.j00200.1.p,_11.2.3_,'lipid metabolism.FA desaturation.omega 3 desaturase',5.22762379161836e-13
eucgr.j00234.1.p,_29.5_,'protein.degradation',3.50468341159942e-12
eucgr.j00237.2.p,_34.19.1_,'transport.Major Intrinsic Proteins.PIP',3.51071005582448e-12
eucgr.j00239.1.p,_29.5.11.20_,'protein.degradation.ubiquitin.proteasom',4.21432183984343e-12
eucgr.j00242.1.p,_1.3.9_,'PS.calvin cycle.seduheptulose bisphosphatase',2.15631985442839e-10
eucgr.j00247.1.p,_29.2.1.2.2.535_,'protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L35A',2.55441897145902e-12
eucgr.j00263.7.p,_13.1.6.1.10_,'amino acid metabolism.synthesis.aromatic aa.chorismate.dehydroquinate/shikimate dehydrogenase',5.83335372296177e-12
eucgr.j00270.1.p,_23.1.2.6_,'nucleotide metabolism.synthesis.purine.AIR carboxylase',2.99959674057261e-12
eucgr.j00279.1.p,_35.2_,'not assigned.unknown',2.41573944569431e-12
eucgr.j00283.1.p,_23.2_,'nucleotide metabolism.degradation',3.90227677666821e-12
eucgr.j00292.1.p,_20.2.1_,'stress.abiotic.heat',6.34322189184875e-12
eucgr.j00305.3.p,_29.8_,'protein.assembly and cofactor ligation',6.50305521144826e-12
eucgr.j00313.1.p,_28.1_,'DNA.synthesis/chromatin structure',2.48944865168482e-13
eucgr.j00325.1.p,_3.8.2_,'minor CHO metabolism.galactose.alpha-galactosidases',1.9648565750728e-12
eucgr.j00327.5.p,_4.1.14_,'glycolysis.cytosolic branch.pyruvate kinase (PK)',1.38672760886024e-11
eucgr.j00330.1.p,_35.2_,'not assigned.unknown',9.31607291086372e-13
eucgr.j00332.1.p,_29.4_,'protein.postranslational modification',6.94155861259525e-13
eucgr.j00343.1.p,_34.20_,'transport.porins',6.36055472076803e-12
eucgr.j00347.1.p,_8.1.7_,'TCA / org transformation.TCA.succinate dehydrogenase',5.3226702614702e-12
eucgr.j00415.1.p,_31.4_,'cell.vesicle transport',2.2602685169504e-12
eucgr.j00431.1.p,_4.3.12_,'glycolysis.unclear/dually targeted.phosphoglycerate mutase',1.06237765125254e-11
eucgr.j00434.1.p,_35.2_,'not assigned.unknown',2.55028495513759e-12
eucgr.j00449.1.p,_34.16_,'transport.ABC transporters and multidrug resistance systems',3.45008970532786e-12
eucgr.j00455.3.p,_35.2_,'not assigned.unknown',2.05601406321563e-13
eucgr.j00458.1.p,_29.4_,'protein.postranslational modification',3.32419705825552e-12
eucgr.j00465.4.p,_35.2_,'not assigned.unknown',1.11769686607357e-11
eucgr.j00468.1.p,_3.5_,'minor CHO metabolism.others',1.19820179584992e-11
eucgr.j00492.1.p,"_29.2.1.1.3.2.510_, _29.2.1.2.2.510_","'protein.synthesis.ribosomal protein.prokaryotic.unknown organellar.50S subunit.L10A', 'protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L10A'",3.89110350080379e-12
eucgr.j00500.1.p,_22.1.5_,'polyamine metabolism.synthesis.N-carbamoylputrescine amidohydrolase',2.8639492789006e-12
eucgr.j00522.2.p,_35.2_,'not assigned.unknown',1.34929717434108e-12
eucgr.j00524.1.p,_33.99_,'development.unspecified',3.60707685469224e-12
eucgr.j00529.1.p,_26.8_,"'misc.nitrilases, *nitrile lyases, berberine bridge enzymes, reticuline oxidases, troponine reductases'",2.76860048658767e-12
eucgr.j00583.1.p,_20.2.1_,'stress.abiotic.heat',3.72379582984189e-12
eucgr.j00592.1.p,_35.2_,'not assigned.unknown',2.3625713135047e-12
eucgr.j00612.1.p,_13.1.3.4_,'amino acid metabolism.synthesis.aspartate family.methionine',2.2938171300196e-11
eucgr.j00617.1.p,_35.1_,'not assigned.no ontology',3.83460324982205e-11
eucgr.j00618.1.p,_29.6_,'protein.folding',4.0742838016057e-12
eucgr.j00624.1.p,_27.3.11_,'RNA.regulation of transcription.C2H2 zinc finger family',4.85006021624456e-12
eucgr.j00625.1.p,_29.2.1.2.2.30_,'protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L30',1.48835703042002e-11
eucgr.j00657.1.p,_29.2.4_,'protein.synthesis.elongation',2.66118813639759e-11
eucgr.j00662.1.p,_16.1.1.4_,'secondary metabolism.isoprenoids.non-mevalonate pathway.CMK',3.25820170810154e-12
eucgr.j00666.4.p,_29.5.3_,'protein.degradation.cysteine protease',1.32064801656564e-11
eucgr.j00669.1.p,_35.1_,'not assigned.no ontology',2.4163262271518e-12
eucgr.j00673.1.p,_27.3.67_,'RNA.regulation of transcription.putative transcription regulator',4.98667882562984e-13
eucgr.j00682.1.p,_23.2.1.4_,'nucleotide metabolism.degradation.pyrimidine.dihydropyrimidinase',4.73875199622636e-11
eucgr.j00683.1.p,_23.2.1.4_,'nucleotide metabolism.degradation.pyrimidine.dihydropyrimidinase',4.21392109416888e-11
eucgr.j00687.1.p,_26.23_,'misc.rhodanese',1.06135400633817e-11
eucgr.j00690.3.p,_29.1.40_,'protein.aa activation.bifunctional aminoacyl-tRNA synthetase',4.0315466761058e-12
eucgr.j00743.1.p,_27.4_,'RNA.RNA binding',2.25645476702399e-12
eucgr.j00769.1.p,_34.8_,'transport.metabolite transporters at the envelope membrane',1.51121278930588e-11
eucgr.j00782.1.p,_23.2_,'nucleotide metabolism.degradation',1.28037810754194e-12
eucgr.j00806.1.p,_28.1.3.2.3_,'DNA.synthesis/chromatin structure.histone.core.H3',4.76224917973069e-13
eucgr.j00819.1.p,_17.7.1.2_,'hormone metabolism.jasmonate.synthesis-degradation.lipoxygenase',3.48721291106169e-11
eucgr.j00820.1.p,_17.7.1.2_,'hormone metabolism.jasmonate.synthesis-degradation.lipoxygenase',8.23285208409145e-11
eucgr.j00821.1.p,_17.7.1.2_,'hormone metabolism.jasmonate.synthesis-degradation.lipoxygenase',1.11105290892141e-11
eucgr.j00823.1.p,_17.7.1.2_,'hormone metabolism.jasmonate.synthesis-degradation.lipoxygenase',3.51123315818109e-12
eucgr.j00824.1.p,_17.7.1.2_,'hormone metabolism.jasmonate.synthesis-degradation.lipoxygenase',1.74595210203987e-11
eucgr.j00825.1.p,_17.7.1.2_,'hormone metabolism.jasmonate.synthesis-degradation.lipoxygenase',5.19874971850258e-12
eucgr.j00832.1.p,_17.7.1.2_,'hormone metabolism.jasmonate.synthesis-degradation.lipoxygenase',9.55649772376894e-12
eucgr.j00854.6.p,_27.1_,'RNA.processing',1.07070340013226e-12
eucgr.j00856.1.p,_29.1.7_,'protein.aa activation.alanine-tRNA ligase',1.01865257176594e-11
eucgr.j00859.1.p,_29.2.2.3.5_,'protein.synthesis.ribosome biogenesis.Pre-rRNA processing and modifications.DExD-box helicases',6.86381344463268e-12
eucgr.j00864.1.p,_8.1.6_,'TCA / org transformation.TCA.succinyl-CoA ligase',8.03649644366155e-12
eucgr.j00865.1.p,"_1.1.1.3_, _29.8_","'PS.lightreaction.photosystem II.biogenesis', 'protein.assembly and cofactor ligation'",1.90305512250646e-11
eucgr.j00874.1.p,_29.5.5_,'protein.degradation.serine protease',5.95359102963312e-13
eucgr.j00880.1.p,_21.1_,'redox.thioredoxin',2.04694543574421e-11
eucgr.j00895.1.p,_29.2.2.1_,'protein.synthesis.ribosome biogenesis.export from nucleus',4.93990184271985e-12
eucgr.j00904.1.p,_34.18.1_,'transport.unspecified anions.arsenite-transporting ATPase',4.74954858824154e-12
eucgr.j00924.1.p,_29.5.11.1_,'protein.degradation.ubiquitin.ubiquitin',2.82582733676579e-12
eucgr.j00930.1.p,_34.19.1_,'transport.Major Intrinsic Proteins.PIP',2.80060355921006e-11
eucgr.j00936.1.p,_26.3.2_,"'misc.gluco-, galacto- and mannosidases.beta-galactosidase'",1.10803179978401e-11
eucgr.j00965.2.p,_21.2.1_,'redox.ascorbate and glutathione.ascorbate',2.02507298537311e-10
eucgr.j00982.2.p,_13_,'amino acid metabolism',1.74753744748682e-11
eucgr.j00991.1.p,_16.1.2.6_,'secondary metabolism.isoprenoids.mevalonate pathway.mevalonate diphosphate decarboxylase',3.5197054984496e-12
eucgr.j00992.2.p,_35.2_,'not assigned.unknown',2.48828464572778e-12
eucgr.j01000.2.p,_15.2_,"'metal handling.binding, chelation and storage'",7.27982872155629e-12
eucgr.j01027.1.p,_35.2_,'not assigned.unknown',3.45654650601771e-12
eucgr.j01028.1.p,_8.1.1.2_,'TCA / org transformation.TCA.pyruvate DH.E2',1.89314063579126e-12
eucgr.j01037.1.p,_8.2.9_,'TCA / org transformation.other organic acid transformatons.cyt MDH',6.21963308606545e-11
eucgr.j01047.1.p,_35.1_,'not assigned.no ontology',1.5436248109471e-12
eucgr.j01051.1.p,_35.1_,'not assigned.no ontology',2.53184206261578e-12
eucgr.j01052.1.p,_35.1_,'not assigned.no ontology',3.21911319366164e-12
eucgr.j01067.1.p,_21.1_,'redox.thioredoxin',6.68677162510507e-13
eucgr.j01079.1.p,_16.2.1.1_,'secondary metabolism.phenylpropanoids.lignin biosynthesis.PAL',2.41684616710942e-12
eucgr.j01084.1.p,_4.2.2_,'glycolysis.plastid branch.phosphoglucomutase (PGM)',4.795137616787e-12
eucgr.j01087.1.p,_34.19.1_,'transport.Major Intrinsic Proteins.PIP',1.90540684016279e-11
eucgr.j01096.1.p,_1.1.2.1_,'PS.lightreaction.photosystem I.LHC-I',2.45918687749871e-10
eucgr.j01112.1.p,_29.2.4_,'protein.synthesis.elongation',6.46992846901434e-11
eucgr.j01121.1.p,_29.2.4_,'protein.synthesis.elongation',1.42367272848489e-11
eucgr.j01127.1.p,_29.5_,'protein.degradation',6.67471822370231e-12
eucgr.j01128.1.p,_29.5_,'protein.degradation',4.93814111018922e-13
eucgr.j01142.1.p,_26.9_,'misc.glutathione S transferases',1.87235223260118e-11
eucgr.j01163.2.p,_29.2.1.2.2.35_,'protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L35',2.31717126478578e-12
eucgr.j01165.3.p,_27.1.1_,'RNA.processing.splicing',3.85534708889412e-12
eucgr.j01181.1.p,_26.3_,"'misc.gluco-, galacto- and mannosidases'",4.13248736577733e-12
eucgr.j01211.1.p,_35.2_,'not assigned.unknown',9.35886622015316e-13
eucgr.j01218.1.p,_35.2_,'not assigned.unknown',1.89425720943754e-12
eucgr.j01234.1.p,_1.3.13_,'PS.calvin cycle.rubisco interacting',2.31523148227885e-10
eucgr.j01250.1.p,_27.3.99_,'RNA.regulation of transcription.unclassified',2.54969821166279e-12
eucgr.j01256.1.p,_35.2_,'not assigned.unknown',2.12448693812484e-12
eucgr.j01293.2.p,_27.3.55_,'RNA.regulation of transcription.HDA',2.66110426936917e-12
eucgr.j01349.1.p,_2.1.2.2_,'major CHO metabolism.synthesis.starch.starch synthase',1.46445737198626e-12
eucgr.j01359.2.p,_27.4_,'RNA.RNA binding',2.30173297763535e-12
eucgr.j01372.2.p,_10.1.4_,'cell wall.precursor synthesis.UDP-Glc dehydrogenase (UGD)',4.19820943135572e-12
eucgr.j01374.1.p,_2.2.2.2_,'major CHO metabolism.degradation.starch.starch phosphorylase',1.28154069483961e-12
eucgr.j01455.1.p,_13.1.6.5.5_,'amino acid metabolism.synthesis.aromatic aa.tryptophan.tryptophan synthase',2.73190590946777e-12
eucgr.j01477.1.p,_30.7_,'signalling.14-3-3 proteins',1.51357654250484e-11
eucgr.j01502.1.p,_1.3.2_,'PS.calvin cycle.rubisco small subunit',7.06360774556563e-10
eucgr.j01502.2.p,_1.3.2_,'PS.calvin cycle.rubisco small subunit',1.03896610138108e-08
eucgr.j01534.1.p,_35.1_,'not assigned.no ontology',1.35616623889487e-12
eucgr.j01541.1.p,_29.5.5_,'protein.degradation.serine protease',1.79241171213384e-12
eucgr.j01562.1.p,_29.2.1.2.1.15_,'protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S15',2.60129844063461e-12
eucgr.j01565.1.p,"_16.5.1.3.3_, _26.8_","'secondary metabolism.sulfur-containing.glucosinolates.degradation.nitrilase', 'misc.nitrilases, *nitrile lyases, berberine bridge enzymes, reticuline oxidases, troponine reductases'",2.27023690784325e-12
eucgr.j01595.2.p,_21.2.1_,'redox.ascorbate and glutathione.ascorbate',4.47028578827063e-11
eucgr.j01599.2.p,_35.2_,'not assigned.unknown',2.97500292195253e-12
eucgr.j01600.2.p,_27.4_,'RNA.RNA binding',2.94033953980528e-12
eucgr.j01621.1.p,_9.1.2_,'mitochondrial electron transport / ATP synthesis.NADH-DH.localisation not clear',1.59143843328364e-11
eucgr.j01625.1.p,_35.2_,'not assigned.unknown',1.02135266962286e-11
eucgr.j01640.1.p,_2.2.1.5_,'major CHO metabolism.degradation.sucrose.Susy',3.72935965330711e-12
eucgr.j01695.1.p,_29.2.5_,'protein.synthesis.release',6.32495044275457e-12
eucgr.j01697.1.p,_27.1_,'RNA.processing',2.38650641169235e-12
eucgr.j01702.1.p,_35.2_,'not assigned.unknown',2.75000350138423e-12
eucgr.j01722.2.p,_27.3.99_,'RNA.regulation of transcription.unclassified',1.27330347502661e-12
eucgr.j01749.1.p,_4.1.14_,'glycolysis.cytosolic branch.pyruvate kinase (PK)',2.7967118494533e-12
eucgr.j01753.1.p,_13.2.4.1_,'amino acid metabolism.degradation.branched chain group.shared',7.86331581794716e-13
eucgr.j01758.1.p,_35.2_,'not assigned.unknown',2.72359025116686e-11
eucgr.j01764.3.p,_29.1.6_,'protein.aa activation.lysine-tRNA ligase',2.30775322048794e-12
eucgr.j01770.1.p,_34.9_,'transport.metabolite transporters at the mitochondrial membrane',1.53729356855744e-11
eucgr.j01771.1.p,_35.1_,'not assigned.no ontology',3.8917067020749e-12
eucgr.j01789.1.p,_20.1_,'stress.biotic',1.76636183612472e-12
eucgr.j01799.1.p,_35.2_,'not assigned.unknown',2.35804520074902e-12
eucgr.j01800.2.p,_35.2_,'not assigned.unknown',1.07128660415918e-12
eucgr.j01820.1.p,_26.30_,'misc. other Ferredoxins and Rieske domain',1.0918491587838e-12
eucgr.j01823.2.p,_26.30_,'misc. other Ferredoxins and Rieske domain',9.90267239332723e-12
eucgr.j01844.1.p,_16.2.1.2_,'secondary metabolism.phenylpropanoids.lignin biosynthesis.C4H',1.9297995841195e-12
eucgr.j01847.1.p,_1.1.6_,'PS.lightreaction.NADH DH',5.69951481354997e-12
eucgr.j01859.1.p,_11.1.2_,'lipid metabolism.FA synthesis and FA elongation.Acetyl CoA Transacylase',4.0046740819811e-12
eucgr.j01894.1.p,_30.5_,'signalling.G-proteins',1.23965588654898e-12
eucgr.j01899.1.p,_4.1.6_,"'glycolysis.cytosolic branch.fructose-2,6-bisphosphatase (Fru2,6BisPase)'",4.97227122793034e-12
eucgr.j01907.1.p,_29.5.11.2_,'protein.degradation.ubiquitin.E1',2.57719084372936e-12
eucgr.j01939.1.p,_29.2.1.1.1.2.4_,'protein.synthesis.ribosomal protein.prokaryotic.chloroplast.50S subunit.L4',2.00856286393503e-12
eucgr.j01950.2.p,_35.2_,'not assigned.unknown',3.75836246624788e-12
eucgr.j01951.2.p,_27.3.67_,'RNA.regulation of transcription.putative transcription regulator',8.53690083460084e-13
eucgr.j01957.1.p,_20.2.1_,'stress.abiotic.heat',2.86336829226249e-12
eucgr.j01958.2.p,_20.2.1_,'stress.abiotic.heat',2.18874856961081e-12
eucgr.j01976.1.p,_20.2.1_,'stress.abiotic.heat',1.11896316526643e-11
eucgr.j02011.1.p,"_16.4.1_, _26.8_","'secondary metabolism.N misc.alkaloid-like', 'misc.nitrilases, *nitrile lyases, berberine bridge enzymes, reticuline oxidases, troponine reductases'",4.7937813840053e-12
eucgr.j02016.1.p,"_16.4.1_, _26.8_","'secondary metabolism.N misc.alkaloid-like', 'misc.nitrilases, *nitrile lyases, berberine bridge enzymes, reticuline oxidases, troponine reductases'",1.31998531167699e-12
eucgr.j02030.1.p,_1.3.13_,'PS.calvin cycle.rubisco interacting',1.07107730994803e-09
eucgr.j02053.1.p,_29.3.3_,'protein.targeting.chloroplast',1.25323319072503e-11
eucgr.j02083.1.p,_33.1_,'development.storage proteins',2.29957862476119e-12
eucgr.j02122.1.p,_25.8_,'C1-metabolism.tetrahydrofolate synthase',1.83073666403972e-12
eucgr.j02124.3.p,_29.4_,'protein.postranslational modification',1.55288705325903e-12
eucgr.j02133.1.p,_34.20_,'transport.porins',6.22641826372067e-11
eucgr.j02164.3.p,_29.3.4.4_,'protein.targeting.secretory pathway.plasma membrane',5.72695947506379e-13
eucgr.j02172.3.p,_21.1_,'redox.thioredoxin',1.00619991506061e-11
